UKPRN,NAME
10007849,University of Abertay Dundee
10007850,The University of Bath
10007851,University of Derby
10007852,The University of Dundee
10007853,"The University of Wales, Newport"
10007854,Cardiff Metropolitan University
10007855,Swansea University
10007856,Aberystwyth University
10007857,Bangor University
10007858,University of Wales Trinity Saint David
10007859,Warwickshire College
10007862,Ystrad Mynach College
10007924,Dudley College of Technology
10007928,Fareham College
10007937,Greenwich School of Management Limited
10007938,Grimsby Institute of Further and Higher Education
10007945,"Highbury College, Portsmouth"
10007977,North East Worcestershire College
10008010,Stranmillis University College
10008017,Trinity Laban Conservatoire of Music and Dance
10008026,St Mary's University College
10008119,Bridgend College
10008173,College of Estate Management
10008289,IFS School of Finance
10008569,Tyne Metropolitan College
10008634,Coleg Sir Gƒr
10008640,University College Falmouth
10008912,Coleg Gwent
10008914,Coleg Morgannwg
10009439,Stanmore College
10009614,Neath Port Talbot College
10009619,Merthyr Tydfil College
10009628,Coleg Powys
10009968,N.D.A. (Nottingham) Limited t/a National Design Academy
10014001,University Campus Suffolk
10020816,The College of Law
10020858,Nova Centric Limited t/a Confetti Institute of Creative Technologies
10021682,Kaplan Open Learning (Essex) Limited
10023454,Moorlands College
10023526,South Staffordshire College
10024962,Leeds City College
10031982,BPP University College of Professional Studies
10032094,Franciscan International Study Centre
10034450,Cardiff and Vale College
10036143,The South Gloucestershire and Stroud College
10037344,Easton and Oatley College
99999997,Medway School of Pharmacy
99999998,Hull York Medical School
99999999,Brighton and Sussex Medical School
