"062","General Pharmaceutical Council (GPhC)"
"065","General Teaching Council for Northern Ireland (GTCNI)"
"066","General Teaching Council for Scotland (GTCS)"
"067","General Teaching Council for Wales (GTCW)"
"068","Geological Society"
"069","Health Care Professions Council (HCPC)"
"070","Her Majesty's Inspectorate of Education (HMIe)"
"071","Higher Education Academy (HEA)"
"072","Institute and Faculty of Actuaries"
"073","Institute of Biomedical Science (IBMS)"
"074","Institute of Careers Guidance"
"075","Institute of Chartered Accountants in England and Wales (ICAEW)"
"076","Institute of Chartered Accountants in Scotland (ICAS)"
"077","Institute of Chartered Foresters (ICF)"
"078","Institute of Chartered Secretaries and Administrators (ICSA)"
"079","Institute of Environmental Management and Assessment (IEMA)"
"080","Institute of Food Science and Technology (IFST)"
"081","Institute of Highway Engineers (IHE)"
"082","Institute of Historic Building Conservation (IHBC)"
"083","Institute of Hospitality "
"084","Institute of Marine Engineering, Science and Technology (IMarEST)"
"085","Institute of Materials, Minerals and Mining (IOM3)"
"086","Institute of Mathematics and its Applications (IMA)"
"087","Institute of Measurement and Control (InstMC)"
"088","Institute of Physics & Engineering in Medicine (IPEM)"
"089","Institute of Physics (IOP)"
"090","Institute of Water (IWater)"
"091","Institution of Agricultural Engineers (IAgrE)"
"092","Institution of Chemical Engineers (IChemE)"
"093","Institution of Civil Engineers (ICE)"
"094","Institution of Engineering and Technology (IET)"
"095","Institution of Engineering Designers (IED)"
"096","Institution of Environmental Sciences (IES)"
"097","Institution of Fire Engineers (IFE)"
"098","Institution of Gas Engineers and Managers (IGEM)"
"099","Institution of Mechanical Engineers (IMechE)"
"100","Institution of Structural Engineers (IStructE)"
"101","Joint Audio Media Education Services (JAMES)"
"102","Landscape Institute (LI)"
"103","Law Society of England and Wales"
"104","Law Society of Northern Ireland (LSNI)"
"105","Law Society of Scotland"
"106","Market Research Society (MRS)"
"107","Drama UK"
"108","National Council for the Training of Journalists (NCTJ)"
"109","National Youth Agency (NYA)"
"110","Northern Ireland Social Care Council (NISCC)"
"111","Nursing and Midwifery Council (NMC)"
"112","Nutrition Society (NS)"
"113","Office for Standards in Education, Children's Services and Skills (Ofsted)"
"114","Periodicals Training Council (PTC)"
"115","Pharmaceutical Society of Northern Ireland (PSNI)"
"116","Royal Aeronautical Society (RAeS)"
"117","Royal College of Obstetricians and Gynaecologists (RCOG)"
"118","Royal College of Psychiatrists (RC PSYCH)"
"119","Royal College of Speech and Language Therapists (RCSLT)"
"120","Royal College of Veterinary Surgeons (RCVS)"
"121","Royal Institute of British Architects (RIBA)"
"122","Royal Institution of Chartered Surveyors (RICS)"
"123","Royal Institution of Naval Architects (RINA)"
"124","Royal Meteorological Society (RMetS)"
"125","Royal Pharmaceutical Society of Great Britain (RPSGB)"
"126","Royal Society of Chemistry (RSC)"
"127","Royal Statistical Society (RSS)"
"128","Royal Town Planning Institute (RTPI)"
"129","Science Council"
"130","Scottish Social Services Council (SSSC)"
"131","Skillset "
"132","Society and College of Radiographers (SCoR)"
"133","Society for the Environment (SocEnv)"
"134","Society of Biology"
"135","Society of Operations Engineers (SOE)"
"136","Solicitors Regulation Authority (SRA)"
"137","Standards Council for Scotland"
"138","Standards Verification UK (SVUK)"
"139","the Teaching Agency (TA)"
"140","American Veterinary Medical Association (AVMA)"
"141","Association of Building Engineers"
"142","British Association of Sport Rehabilitators and Trainers (BASRaT)"
"143","British Institute of Professional Photography (BIPP)"
"144","Chartered Institution of Civil Engineering Surveyors (CICES)"
"145","European Herbal and Traditional Practitioners Association (EHTPA)"
"146","Institute of Chartered Shipbrokers (ICS)"
"147","Institute of Chemistry in Ireland"
"148","Institute of Financial Accountants (IFA)"
"149","Institute of Travel and Tourism (ITT)"
"150","Maritime and Coastguard Agency (MCA)"
"151","Merchant Navy Training Board (MNTB)"
"152","Royal Meteorological Society (RMetS)"
"153","SkillsActive"
"154","The Church of Scotland"
"155","The College of Optometrists (Copt)"
"156","The Institute of Brewing and Distilling (IBD)"
"157","The Institute of Ergonomics and Human Factors (IEHF)"
"158","The Institute of Occupational Safety and Health (IOSH)"
"159","The Institute of Translation and Interpreting (ITI)"
"160","The Society of Fire Protection Engineers"
"161","The Society of Sports Therapists"
"162","The Trading Standards Institute"
