UKPRN,NAME
10001353,Chelmsford College
10001372,Surrey Hills Onward Learning
10001378,Chesterfield College
10001386,The Chicken Shed Theatre Trust
10001416,Christ the King Sixth Form College
10001446,Cirencester Tertiary College
10001452,City and Islington College
10001457,City College Brighton and Hove
10001458,City College Coventry
10001463,City Lit
10001465,City of Bath College
10001467,City of Bristol College
10001471,City of London College
10001474,City of Stoke on Trent Sixth Form College
10001475,City of Sunderland College
10001476,City of Westminster College
10001478,The City University
10001492,Claverham Community College
10001503,Cleveland College of Art and Design
10001512,Community Music Limited
10001535,Colchester Institute
10001539,The College of Animal Welfare Limited
10001548,"The College of Haringey, Enfield and North East London"
10001549,The College of North West London
10001550,The College of Richard Collyer in Horsham
10001552,The College of Traditional Accupuncture
10001651,Connexions West of England
10001653,Conservatoire for Dance and Drama
10001696,Cornwall College
10001705,Coulsdon College
10001726,Coventry University
10001743,Craven College
10001744,Central Sussex College
10001778,Croydon College
10001850,Darlington College
10001881,"De La Salle Humanities College, Liverpool"
10001883,De Montfort University
10001897,Dearne Valley College
10001901,Deep Blue Sound Limited
10001919,Derby College
10001934,Derwentside College
10002005,Doncaster College
10002011,Doreen Bird College of Performing Arts Ltd
10002055,Dukeries College (The)
10002061,Central Bedfordshire College
10002094,"Ealing, Hammersmith and West London College"
10002107,East Berkshire College
10002111,East Durham College
10002118,East London Advanced Technology
10002122,East Norfolk Sixth Form College
10002126,East Riding College
10002130,East Surrey College
10002143,Eastleigh College
10002269,English National Ballet School Limited
10002297,Epping Forest College
10002314,Esher College
10002329,Estover Community College
10002340,European College of Business and Management
10002344,European School Of Osteopathy
10002356,South Worcestershire College
10002370,Exeter College
10002397,Fairham Community College
10002412,Farnborough College of Technology
10002570,Franklin College
10002599,Furness College
10002638,Gateshead College
10002642,Gateway Sixth Form College
10002681,Glasgow School of Art
10002696,Gloucestershire College
10002710,Godalming College
10002718,Goldsmiths College
10002743,Grantham College
10002755,Great Yarmouth College
10002767,Greenbank Project (The)
10002770,Greenhead College
10002780,Greenwich Community College
10002805,Guildford School of Acting Conservatoire
10002815,Guildford College of Further and Higher Education
10002820,ICMP (UK) Ltd
10002835,Hackney Community College
10002843,Hadlow College
10002852,Halesowen College
10002863,"Riverside College, Halton"
10002874,Hampstead Garden Suburb Institute
10002899,Harlow College
10002907,Harrow College
10002917,Hartlepool College of Further Education
10002918,Hartlepool Sixth Form College
10002919,Hartpury College
10002923,"Sussex Coast College, Hastings"
10002929,Havant College
10002935,Havering College of Further and Higher Education
10002937,Havering Sixth Form College
10002953,Haywards Heath College
10003010,Henley College Coventry
10003011,Henley College (The)
10003014,Henry Cort Community College (The)
10003021,Hereford Sixth Form College
10003022,Hereford College of Arts
10003023,Herefordshire and Ludlow College
10003029,Hereward College of Further Education
10003035,Hertford Regional College
10003088,Hillcroft College
10003089,Hillingdon Adult Education Service
10003094,Hills Road Sixth Form College
10003101,Hind Leys Community College
10003128,Holy Cross College
10003146,Hopwood Hall College
10003165,Hounslow London Borough Council
10003167,Hounslow Manor School
10003188,Huddersfield New College
10003189,Kirklees College
10003193,Hugh Baird College
10003200,Hull College
10003270,"Imperial College of Science, Technology and Medicine"
10003324,The Institute of Cancer Research
10003331,Regent's University London
10003336,IPP Education Limited
10003406,Isle of Wight College
10003425,Italia Conti Academy of Theatre Arts Limited (The)
10003427,Itchen College
10003436,Ivanhoe College
10003491,John Leggott Sixth Form College
10003500,John Ruskin College
10003511,Joseph Chamberlain Sixth Form College
10003558,Kendal College
10003564,Kensington and Chelsea College
10003570,Kent County Council
10003602,Kidderminster College
10003614,The University of Winchester
10003624,"King Edward VI College, Nuneaton"
10003625,King Edward VI College Stourbridge
10003635,King Edward VII Science and Sport College
10003640,King George V College
10003645,King's College London
10003674,Kingston College
10003676,Kingston Maurward College
10003678,Kingston University
10003708,Knowsley Community College
10003753,Lakes College - West Cumbria
10003755,Lambeth College
10003768,Lancaster and Morecambe College
10003854,Leeds College of Art
10003855,Leeds College of Building
10003861,Leeds Metropolitan University
10003863,Leeds Trinity University
10003867,Leicester College
10003884,Leo Baeck College
10003894,Lewisham College
10003896,Lews Castle College
10003899,Leyton Sixth Form College
10003925,Lincoln Academy Limited
10003928,Lincoln College
10003932,Lincolnshire County Council
10003945,The Liverpool Institute for Performing Arts
10003955,City of Liverpool College
10003956,Liverpool Hope University
10003957,Liverpool John Moores University
10003959,Liverpool Theatre School and College Limited
10003997,Newham London Borough Council
10004007,London City College Ltd
10004012,London College of Advanced Studies Limited
10004025,London College of Management and IT
10004027,The London College of Traditional Acupuncture and Oriental Medicine
10004032,London Electronics College Limited
10004036,London International Film School Limited (The) t/a The London Film School
10004048,London Metropolitan University
10004061,London School of Business and Management Limited
10004063,London School of Economics and Political Science
10004075,London School of Theology
10004078,London South Bank University
10004079,London Studio Centre Limited
10004088,Long Road Sixth Form College
10004089,Longbenton Community College
10004097,Longslade Community College
10004108,Loreto College (Manchester)
10004112,Loughborough College
10004113,Loughborough University
10004116,Lowestoft College
10004125,Luton Sixth Form College
10004144,Macclesfield College
10004180,The Manchester Metropolitan University
10004204,Marine Society and Sea Cadets (The)
10004222,Marshall of Cambridge Aerospace Limited
10004285,Medway Council
10004313,Merseyside Dance and Drama Centre Limited
10004320,The Metanoia Institute
10004339,Mid-Cheshire College of Further Education
10004340,MidKent College of Higher and Further Education
10004344,Middlesbrough College
10004351,Middlesex University
10004375,Milton Keynes College
10004432,Morley College Limited
10004442,Moulton College
10004478,Myerscough College
10004497,National Autistic Society(The)
10004511,National Film and Television School (The)
10004552,Nelson and Colne College
10004576,New College Durham
10004577,New College Nottingham
10004578,"New College, Pontefract"
10004579,"New College, Swindon"
10004580,New College Telford
10004594,Newbattle Abbey College
10004596,Newbury College
10004599,Newcastle College
10004603,Newcastle-Under-Lyme College
10004607,Newham College of Further Education
10004608,Newham Sixth Form College
10004609,Newham Training and Education Centre
10004676,Petroc
10004686,North East Surrey College of Technology
10004690,North Hertfordshire College
10004695,North Lindsey College
10004705,North Nottinghamshire College
10004714,North Tyneside Metropolitan Borough Council
10004718,North Warwickshire and Hinckley College
10004721,North West Kent College of Technology
10004736,"Northbrook College, Sussex"
10004738,Northern Ballet School
10004739,Northern College For Residential Adult Education Limited (The)
10004740,The Northern College of Acupuncture
10004760,Northumberland College
10004771,Norton Radstock College
10004772,Norwich City College of Further and Higher Education
10004775,Norwich University of the Arts
10004785,Notre Dame Catholic Sixth Form College
10004797,The Nottingham Trent University
10004835,Oaklands College
10004861,Oldham Sixth Form College
10004879,Open College of the Arts
10004901,Orpington College of Further Education
10004927,Oxford and Cherwell Valley College
10004930,Oxford Brookes University
10004938,The Oxford House in Bethnal Green Ltd
10004943,Oxford School of Drama Limited (The)
10004969,Palmers College
10005001,Paston College
10005032,Salford City College
10005072,Peter Symonds College
10005077,Peterborough Regional College
10005124,Plumpton College
10005127,Plymouth College of Art
10005128,City College Plymouth
10005154,Portslade Community College
10005158,Portsmouth College
10005200,Preston College
10005206,Priestley College
10005220,Prior Pursglove College
10005325,Queen Elizabeth Sixth Form College
10005337,"Queen Margaret University, Edinburgh"
10005339,Queen Mary's College
10005343,The Queen's University of Belfast
10005389,Ravensbourne
10005390,Rawlins Community College
10005404,Reaseheath College
10005410,Redbridge College
10005414,Redcar and Cleveland College
10005415,Redcliffe College
10005429,Regent College
10005433,Reid Kerr College
10005435,Reigate College
10005455,Royal Engineers Vocational Education and Training Trust
10005465,Richard Huish College
10005466,Richmond Adult Community College
10005469,Richmond-upon-Thames College
10005470,"Richmond, The American International University in London"
10005500,The Robert Gordon University
10005523,Rose Bruford College
10005534,Rotherham College of Arts and Technology
10005538,Roundhill Community College
10005544,Royal Academy of Dancing
10005545,Royal Agricultural University
10005553,Royal Holloway and Bedford New College
10005558,Royal National College for the Blind at Hereford
10005561,Royal Conservatoire of Scotland
10005575,Runshaw College
10005583,Ruskin College
10005607,Sabhal Mor Ostaig
10005669,Sandwell College
10005687,Scarborough Sixth Form College
10005700,SRUC
10005736,SEEVIC College
10005741,Selby College
10005780,Sharnbrook Upper School and Community College
10005788,The Sheffield College
10005789,Sheffield Environmental Training Limited
10005790,Sheffield Hallam University
10005810,Shipley College
10005821,Shrewsbury College of Arts and Technology
10005822,Shrewsbury Sixth Form College
10005859,Sir George Monoux College
10005864,Sir John Deane's College
10005881,"Sixth Form College, Colchester"
10005916,Slough Borough Council
10005946,Solihull College
10005956,Somerset College of Arts and Technology
10005967,South and City College Birmingham
10005972,South Cheshire College
10005977,South Devon College
10005979,The South Downs College
10005981,South Essex College of Further and Higher Education
10005989,South Leicestershire College
10005991,Central College Nottingham
10005997,South Thames College
10005998,Trafford College
10005999,South Tyneside College
10006002,Stratford-upon-Avon College
10006020,Southampton City College
10006022,Southampton Solent University
10006031,Southey Training and Resource Centre Ltd.
10006038,Southport College
10006040,Southwark College
10006050,Sparsholt College Hampshire
10006093,Spurgeon's College
10006130,St Brendan's Sixth Form College
10006135,St Charles Catholic Sixth Form College
10006146,"St David's College, Llandudno"
10006148,St Dominic's Sixth Form College
10006174,St Helens College
10006181,Cambridgeshire Community Education - Adult Special Educational Needs
10006195,St John Rigby Roman Catholic Sixth Form College
10006220,"St Mary's Catholic College, Wallasey"
10006224,"St Mary's College, Hull"
10006226,"St Mary's College, Blackburn"
10006243,St. Patrick's International College Limited
10006268,St Vincent College
10006270,St Wilfrid's Catholic High School and Sixth Form College
10006293,Stafford College
10006299,Staffordshire University
10006303,New College Stamford
10006322,Stephenson College
10006331,Stockport College
10006341,Stockton Riverside College
10006342,Stockton Sixth Form College
10006349,Stoke on Trent College
10006355,Stourbridge College
10006378,Strode College
10006379,"Strode's College, Egham"
10006389,The Interactive Design Institute Limited
10006398,Suffolk New College
10006426,Surrey County Council
10006427,University for the Creative Arts
10006432,Sussex Downs College
10006439,Sutton Centre Community College
10006442,Birmingham Metropolitan College
10006444,Sutton College of Learning for Adults
10006458,Swarthmore Education Centre
10006463,Swindon College
10006494,Tameside College
10006549,Telford College of Arts and Technology
10006566,The University of West London
10006570,Thanet College
10006709,"International School and Community College (The), East Birmingham"
10006715,John Kitto Community College
10006770,The Oldham College
10006813,The Brooke House Sixth Form College
10006814,"Sixth Form College, Farnborough"
10006815,"Sixth Form College (The), Solihull"
10006840,The University of Birmingham
10006841,The University of Bolton
10006842,The University of Liverpool
10006892,Thomas Rotherham College
10006958,Totton College
10006963,Tower Hamlets College
10007011,Northampton College
10007035,Tresham College of Further and Higher Education
10007037,Treviglas Community College
10007063,Truro and Penwith College
10007111,Uckfield Community Technology College
10007114,University of the Highlands and Islands
10007137,The University of Chichester
10007138,The University of Northampton
10007139,The University of Worcester
10007140,Birmingham City University
10007141,The University of Central Lancashire
10007143,University of Durham
10007144,The University of East London
10007145,University of Gloucestershire
10007146,The University of Greenwich
10007147,University of Hertfordshire
10007148,The University of Huddersfield
10007149,The University of Hull
10007150,The University of Kent
10007151,The University of Lincoln
10007152,University of Bedfordshire
10007154,The University of Nottingham
10007155,The University of Portsmouth
10007156,The University of Salford
10007157,The University of Sheffield
10007158,The University of Southampton
10007159,The University of Sunderland
10007160,The University of Surrey
10007161,Teesside University
10007162,"University of the Arts, London"
10007163,The University of Warwick
10007164,"University of the West of England, Bristol"
10007165,The University of Westminster
10007166,The University of Wolverhampton
10007167,The University of York
10007180,Uppingham Community College
10007193,Uxbridge College
10007199,Vale of Catmose College
10007212,Varndean College
10007289,Wakefield College
10007291,Wakefield City Council
10007299,Walford and North Shropshire College
10007315,Walsall College
10007321,Waltham Forest College
10007339,Warrington Collegiate
10007361,CWR (t/a Waverly Training and Events)
10007364,Workers' Educational Association
10007365,Weald and Downland Open Air Museum Limited
10007381,Welland Park Community College
10007405,YMCA Training
10007407,West Cheshire College
10007417,West Herts College
10007419,South and West Kent College
10007427,West Nottinghamshire College
10007431,West Suffolk College
10007434,West Thames College
10007455,Westminster Kingsway College
10007459,Weston College
10007469,Weymouth College
10007500,Wigan and Leigh College
10007503,Wilberforce College
10007527,Wiltshire College
10007543,Wine and Spirit Education Trust
10007546,Winstanley College
10007553,Wirral Metropolitan College
10007566,Woking College
10007578,City of Wolverhampton College
10007609,Woodhouse College
10007621,Worcester College of Technology
10007636,Working Men's College Corporation
10007643,Worthing College
10007647,Wreake Valley Community College
10007657,Writtle College
10007671,Wyggeston and Queen Elizabeth I College
10007673,Wyke Sixth Form College
10007682,Xaverian College
10007696,Yeovil College
10007700,YMCA George Williams Company
10007701,YMCA
10007709,York College
10007713,York St John University
10007759,Aston University
10007760,Birkbeck College
10007761,Courtauld Institute of Art
10007762,Glasgow Caledonian University
10007764,Heriot-Watt University
10007765,Heythrop College
10007766,Institute of Education
10007767,The University of Keele
10007768,The University of Lancaster
10007769,London Business School
10007771,London School of Hygiene and Tropical Medicine
10007772,Edinburgh Napier University
10007773,The Open University
10007774,The University of Oxford
10007775,Queen Mary and Westfield College
10007776,Roehampton University
10007777,Royal College of Art
10007778,Royal College of Music
10007779,The Royal Veterinary College
10007780,The School of Oriental and African Studies
10007782,St George's Hospital Medical School
10007783,The University of Aberdeen
10007784,University College London
10007785,The University of Bradford
10007786,The University of Bristol
10007787,The University of Buckingham
10007788,The University of Cambridge
10007789,The University of East Anglia
10007790,The University of Edinburgh
10007791,The University of Essex
10007792,The University of Exeter
10007793,University of Glamorgan
10007794,The University of Glasgow
10007795,The University of Leeds
10007796,The University of Leicester
10007797,University of London (Institutes and activities)
10007798,The University of Manchester
10007799,The University of Newcastle-upon-Tyne
10007800,The University of the West of Scotland
10007801,The University of Plymouth
10007802,The University of Reading
10007803,The University of St Andrews
10007804,The University of Stirling
10007805,The University of Strathclyde
10007806,The University of Sussex
10007807,University of Ulster
10007811,Bishop Grosseteste University
10007812,University of London Institute in Paris
10007814,Cardiff University
10007815,London International Education Foundation Limited
10007816,Central School of Speech and Drama
10007817,Chichester College
10007820,Coleg Llandrillo Cymru
10007821,Coleg Menai
10007822,Cranfield University
10007823,Edge Hill University
10007825,Guildhall School of Music and Drama
10007832,Newman University
10007833,Glynd?r University
10007834,Pembrokeshire College
10007835,Royal Academy of Music
10007837,Royal Northern College of Music
10007842,University of Cumbria
10007843,"St Mary's University College, Twickenham"
10007848,University of Chester
10007849,University of Abertay Dundee
10007850,The University of Bath
10007851,University of Derby
10007852,The University of Dundee
10007853,"The University of Wales, Newport"
10007854,Cardiff Metropolitan University
10007855,Swansea University
10007856,Aberystwyth University
10007857,Bangor University
10007858,University of Wales Trinity Saint David
10007859,Warwickshire College
10007862,Ystrad Mynach College
10007875,Mary Ward Settlement
10007916,College of West Anglia
10007924,Dudley College of Technology
10007928,Fareham College
10007937,GSM London
10007938,Grimsby Institute of Further and Higher Education
10007945,Highbury College
10007949,Huntingdonshire Regional College
10007959,Loreto College (Hertfordshire)
10007960,Manor Community College (The)
10007977,North East Worcestershire College
10008007,St Francis Xavier Sixth Form College
10008010,Stranmillis University College
10008017,Trinity Laban Conservatoire of Music and Dance
10008025,Worcester Sixth Form College
10008026,St Mary's University College
10008073,Armagh College of Further Education
10008074,Aes Tring Park School Trust (The)
10008110,Blake Hall College Limited
10008119,Bridgend College
10008122,Brit School for Performing Arts and Technology
10008151,Castlereagh College of Further and Higher Education
10008211,East London College Limited
10008213,East Tyrone College of Further and Higher Education
10008229,Ethames Graduate School Limited
10008233,Fermanagh College of Further Education
10008289,IFS School of Finance
10008298,James Watt College of Further and Higher Education
10008350,Limavady College of Further and Higher Education
10008362,London School of Science and Technology
10008384,North East Institute of Further and Higher Education
10008396,Newry and Kilkeel Institute of Further and Higher Education
10008397,Norland College
10008399,North West Institute of Further and Higher Education
10008430,Platform One (IOW) Limited
10008569,Tyne Metropolitan College
10008574,The University of Wales (central functions)
10008589,West of England Ministerial Training Course
10008627,Causeway Institute of Further and Higher Education
10008634,Coleg Sir GÄr
10008637,Elmhurst Ballet School
10008640,Falmouth University
10008641,Fircroft College of Adult Education
10008653,London School of Commerce
10008655,Longley Park Sixth Form College
10008696,Bromley Adult Education College
10008702,Perth College
10008741,South Lanarkshire College
10008823,Pencoed Comprehensive School
10008899,The Ashridge (Bonar Law Memorial) Trust
10008911,Coleg Ceredigion
10008912,Coleg Gwent
10008914,Coleg Morgannwg
10008953,Ymddiriedolaeth Nant Gwrtheyrn
10008958,Early Years: The Organisation for Young Children
10009023,East Antrim Institute of Further and Higher Education
10009063,Building Crafts College
10009074,Hilderstone College
10009159,Aberdeen College
10009165,Angus College
10009166,Anniesland College
10009170,Ayr College
10009177,Borders College
10009186,Cardonald College
10009187,Central College
10009193,Clydebank College
10009194,Coatbridge College
10009199,Cumbernauld College
10009204,Dumfries and Galloway College
10009205,Dundee College
10009217,Forth Valley College of Further and Higher Education
10009218,Glasgow College of Nautical Science
10009230,Inverness College
10009232,Jewel and Esk Valley College
10009233,John Wheatley College
10009237,Langside College
10009238,Lauder College
10009249,Moray College
10009251,Motherwell College
10009256,North Glasgow College
10009281,"Stevenson College, Edinburgh"
10009282,Stow College
10009291,North Highland College (The)
10009295,West Lothian College
10009376,Cardiff City and County Council
10009410,Merthyr Tydfil County Borough Council
10009415,Neath Port Talbot County Borough Council
10009433,South Birmingham Primary Care Trust
10009439,Stanmore College
10009449,Vale of Glamorgan County Council
10009477,KYRA Education and Training
10009554,"Taunton's College, Southampton"
10009614,Neath Port Talbot College
10009619,Merthyr Tydfil College
10009628,Coleg Powys
10009639,Urchfont Manor College
10009659,XL Training (Scotland) Limited
10009678,Deeside College
10009685,Yale College
10009732,Newham Community Renewal Programme Limited
10009765,Pembrokeshire County Council
10009776,Powys County Council
10009780,Blaenau Gwent County Borough Council
10009834,Wrexham County Borough Council
10009843,International Correspondence Schools Limited
10009878,Swansea City and County Council
10009880,Torfaen County Borough Council
10009883,Purton House Homeopathic Centre Limited
10009886,Co-Operative College (The)
10009925,St John's College Nottingham Limited
10009947,St Nicholas Preparatory School Limited t/a Montessori Centre International
10009968,N.D.A. (Nottingham) Limited
10009975,Bowling College
10010093,Academy of Circus Arts and Physical Theatre t/a Circomedia
10010115,Kilmarnock College
10010172,Hawkwood College Ltd
10010213,Inter-Ed UK Limited t/a The City College
10010227,The Kingham Hill Trust
10010252,Coleg Harlech / WEA North
10010267,"Centre for Enterprise Limited, Leicester"
10010325,Newport City Council
10010327,Monmouthshire County Council
10010357,Carmarthenshire County Council
10010390,Shetland College
10010449,Caerphilly County Borough Council
10010461,Ceredigion County Council
10010497,"Welbeck, the Defence Sixth Form College"
10010565,London Academy of Management Sciences Ltd
10010606,Edinburgh's Telford College
10010610,Irish Baptist College
10010639,East Down Institute of Further and Higher Education
10010720,Brighton Institute of Modern Music
10010822,Midlands Academy of Dance and Drama Limited
10011082,Guildhall College Limited
10011130,Orkney College
10011194,Julie Anne Hewson trading as The Iron Mill Institute
10011252,Stella Mann College
10012511,Vital Training and Communications UK Limited t/a Impact International College
10012516,"The Learning Institute, Callington"
10012766,Kent Police Authority
10012807,Integrated Arts in Therapy and Education Limited (t/a The Institution for Arts in Therapy and Education)
10012814,Henshaw's College
10012974,Conwy County Borough Council
10012984,Fire Service College
10013017,Denbighshire County Council
10013028,Flintshire County Council
10013036,WEA South
10013192,Glasgow Metropolitan College
10013357,The Academy for Contemporary Music Limited
10013374,Gwynedd County Council
10013987,Mary Hare School
10014001,University Campus Suffolk
10014157,Capita Business Services Ltd
10014199,Veolia Environnement Development Centre Limited
10015623,Whitefields School and Centre
10016359,St David's Catholic College
10016538,Missenden Abbey Adult Education College
10016736,"St Mary's College, Liverpool"
10017276,Putteridge High School and Community College
10017637,Sunfield School
10017718,The Bridge School
10017790,"St Mary's College, Southampton"
10018361,Centre for Advanced Studies Limited
10019245,Informa UK Ltd
10020372,"Northern Regional College, Antrim"
10020381,Tavistock and Portman NHS Foundation Trust
10020416,Mattersey Hall
10020436,The Royal School of Needlework
10020502,Somerset SCITT Consortium
10020571,The Gestalt Centre t/a Gestalt Centre London
10020633,Southern Regional College
10020634,North West Regional College
10020676,Into Newcastle University LLP
10020680,Belfast Metropolitan College
10020685,South West College
10020699,South Eastern Regional College
10020858,Nova Centric Limited
10020883,Eastwood Park Limited
10021029,School of Technology and Management (STM)
10021141,"Adam Smith College, Fife"
10021373,Oasis Charitable Trust (t/a Oasis College)
10021550,Centre for Alternative Technology Charity Limited
10021682,Kaplan Open Learning (Essex) Limited
10021984,Popeth Cymraeg Cyfyngedig
10022061,Skills Solution Limited
10022087,Futureworks Training Limited (t/a Futureworks)
10023139,The Manchester College
10023441,City Banking College Limited
10023442,The College of Osteopaths
10023445,International College of Oriental Medicine (U.K.) Limited (The)
10023451,London College of Professional Studies UK Limited
10023454,Moorlands College
10023457,The Scottish Police College
10023525,Rochdale Sixth Form College
10023526,South Staffordshire College
10023571,SB Training UK Limited
10024766,Wales Evangelical School of Theology Ltd
10024962,Leeds City College
10026090,Williams College UK Ltd
10026751,Cambridge Education Group Limited
10026843,Eliesha Training Limited
10026852,London School of Management & Science Limited
10028001,Trinity Catholic College
10028607,KLM UK Engineering Limited
10028666,Bradford and Airedale Teaching Primary Care Trust
10029212,St George's Academy
10029499,Martin Brunner
10029916,Lowestoft Sixth Form College
10030342,Black Country Partnership NHS Foundation Trust
10030408,Gower College Swansea
10030776,St Mellitus College Trust
10030943,Lindisfarne Regional Training Partnership
10030973,Westminster Theological Centre
10031982,BPP University College
10032037,Animal Health Trust
10032038,The Babraham Institute
10032043,The Bulmer Foundation
10032094,Franciscan International Study Centre
10032225,Branston Community Academy
10032287,Genome Research Limited
10032299,Tech Music Schools Limited
10033438,Royal Navy
10033440,British Army
10033441,Royal Air Force
10034324,Court Theatre Training Company Ltd
10034450,Cardiff and Vale College
10035638,Institute of Contemporary Music Performance
10036143,South Gloucestershire and Stroud College
10037344,Easton and Otley College
10037449,University of St Mark and St John
10038990,St John's College Durham
10039956,The University of Law
10040812,Harper Adams University
10041295,Coleg Cambria

